StudentId,Total
86711,280
75298,382
56248,472
94858,266
71924,485
9243,399
11534,348
62399,281
92114,273
38482,336
51412,460
31180,447
48525,336
27783,300
29937,303
21289,287
46789,307
60003,341
32594,460
32630,471
54805,380
58549,487
17183,345
94086,268
32976,452
37003,354
95389,339
70722,335
59621,396
68157,394
86813,414
14167,266
29490,342
7699,381
13803,487
87654,388
12105,480
27918,254
28468,425
69615,413
16777,432
80971,382
95412,413
78563,378
89816,283
24481,257
36420,470
98695,375
26209,459
88143,302
11455,308
16885,356
84961,304
96965,283
88687,432
36032,441
86753,294
60036,456
91460,403
68844,367
70484,427
1831,336
83413,421
72266,422
89750,291
10935,418
83228,449
80082,443
55547,376
12922,435
86832,327
87392,385
3350,425
34728,397
46020,417
2159,460
80127,494
31477,342
45303,332
62633,306
76748,474
1138,302
13589,422
42739,361
88002,426
95292,443
16392,381
40199,388
10820,431
80305,464
84913,372
7557,390
34589,294
6864,430
5612,351
54098,380
96007,432
97944,329
85096,483
1175,422
30514,445
93074,311
22670,450
16322,388
49213,283
72100,299
63709,295
61193,453
23009,289
74233,489
19398,487
27580,447
69263,281
19015,498
60749,433
13609,468
11291,456
49213,344
28131,475
75529,453
80277,367
95184,260
96088,257
75898,426
50221,421
75694,389
36298,267
72957,346
11866,290
53097,377
55609,327
25586,394
16265,330
19300,401
92543,373
67937,364
18740,344
53597,250
48958,329
12163,369
1426,413
18574,417
22821,348
91440,399
5439,441
26801,440
7938,434
61691,286
96797,336
4806,372
20474,469
68649,498
91415,324
82931,352
27181,432
57876,271
86392,334
15163,486
15199,393
81266,254
63361,276
19157,412
5714,441
90739,477
59283,424
44541,364
64284,438
32704,435
2518,393
18594,427
74415,313
28026,414
82004,310
99086,263
71716,355
25151,291
45899,263
78357,491
90279,280
72545,496
14119,300
42594,447
77933,407
60902,313
91921,377
11250,372
69387,273
51748,357
51777,281
12691,355
23381,300
28157,399
88297,432
14310,456
49118,392
8821,364
80695,292
86410,369
99726,396
6904,328
9883,309
15559,337
48262,262
33498,336
75798,297
76249,368
76937,430
167,394
88609,490
17281,352
1057,375
16221,418
59169,292
13381,400
85469,302
14646,374
85482,429
65852,295
352,313
65787,379
15504,282
29007,395
59728,322
33492,287
68396,368
13080,407
69155,425
52307,254
90588,319
49044,500
86071,327
52878,411
55106,322
7368,411
15963,350
3462,348
59222,442
24753,382
18075,428
26025,383
72275,323
48234,366
46575,388
73463,267
33824,420
67539,288
13490,436
37756,385
44278,289
85208,406
70310,291
35086,337
97622,447
90638,351
13205,433
98806,305
12986,297
17529,477
57319,431
55034,342
2301,447
8139,298
52203,438
97307,291
60033,262
87911,374
15205,404
80886,413
73945,411
96850,263
6085,338
14709,308
1505,368
54063,280
69558,347
76282,251
99829,418
53882,257
64726,406
93298,474
31869,460
96837,312
96577,428
80484,338
28536,351
56304,300
62339,408
51704,255
20610,392
65923,495
71269,358
72362,286
5335,277
53752,398
9710,487
45771,469
5269,270
18616,403
22109,454
3445,257
89730,413
85968,320
30302,350
10882,289
88658,443
1066,377
37200,418
77100,404
74476,475
82823,378
35961,441
11802,370
82769,383
28065,334
49689,404
99680,358
1410,471
20108,453
13984,438
52725,282
83148,285
17680,257
17205,307
89370,290
74307,317
57262,447
76129,451
75606,475
66763,370
7799,356
829,418
33793,322
21188,305
43661,416
13500,341
88895,255
75445,387
33914,473
73426,403
62754,343
44414,457
57781,313
40554,456
25115,430
36179,388
94632,470
81568,476
40328,419
96420,478
21285,460
35840,426
53459,287
66883,331
1356,476
15624,381
40333,367
5644,387
35341,339
1536,343
62565,325
76013,451
91329,496
66136,327
65964,498
41567,467
33250,340
26467,327
49030,463
3069,473
19543,342
35228,353
59211,366
34756,261
4556,322
28171,265
75961,380
50062,451
84829,408
12038,403
66569,401
93415,422
83153,426
97658,426
15158,432
81582,342
27581,480
96112,349
2946,344
96112,375
49765,326
11647,388
76200,279
71753,263
82547,319
41050,480
84104,426
29419,343
57119,343
50593,407
11598,261
81095,263
10628,464
25745,297
31457,398
33354,325
72829,391
26095,304
55160,270
5537,362
72276,352
52376,267
60880,390
45104,296
15041,272
95096,449
71381,381
73008,492
95923,464
25544,436
67798,285
4318,482
99867,281
74461,500
48580,266
51949,396
49004,462
24767,336
18409,341
70594,481
39085,276
70100,424
33966,268
5231,308
68217,486
29390,442
37648,352
6639,345
52965,404
59211,443
63883,478
96250,295
94193,305
42331,338
59351,373
95775,407
66138,473
63870,292
7241,433
16837,329
34618,353
64014,352
47379,381
19483,360
15179,382
88209,475
96025,288
84775,398
12940,333
11808,427
96856,340
64975,429
718,377
94875,413
89756,460
97003,383
91846,425
5182,440
35573,451
99960,361
71734,478
94081,301
73264,345
36945,308
18161,285
29258,440
44665,480
91516,326
54778,470
25065,411
53490,437
2208,290
77940,255
47297,311
67181,475
10774,445
85647,287
73818,493
86370,381
2461,396
27296,255
66312,459
96409,293
9458,493
12779,345
20024,460
98307,428
41779,331
25744,416
40444,294
27932,439
69135,403
27058,311
29716,320
81325,402
7781,467
70828,326
20834,486
10070,424
71485,476
21838,300
62935,403
6724,458
30962,267
86735,283
33665,283
4936,262
28210,383
46124,439
36442,483
3200,417
50352,368
34266,269
10452,338
93588,256
23682,416
62765,286
1115,427
6951,480
10111,439
39887,285
66074,370
98452,307
21719,368
86481,394
95905,472
63976,286
10290,393
38693,473
50142,445
45745,251
40275,482
88481,350
57919,343
92435,486
62210,336
62576,408
70344,310
46105,314
58244,275
45985,266
7944,292
87790,323
1860,437
10165,445
85129,341
4069,335
88724,483
71232,342
56191,489
73241,360
18765,300
79616,484
74954,382
25022,404
79444,405
59178,422
21479,342
90101,313
57742,388
36750,391
99407,460
38413,255
3163,434
94157,483
83446,377
10893,433
54757,271
1919,377
79507,319
69924,291
52967,493
86381,449
18279,380
72799,398
86181,401
48965,331
59816,420
15512,422
12954,499
16526,398
68639,267
19170,260
91986,377
94326,358
85729,405
98494,453
78183,258
6050,465
25468,408
29539,343
87316,344
14855,468
90348,286
24318,300
63278,451
31037,403
59959,499
22033,310
59913,499
92203,383
51037,484
6835,426
24728,414
54462,310
97783,321
62135,339
73951,396
2228,325
90952,354
32013,283
59196,359
13809,500
30926,308
38905,422
51968,280
52175,398
99001,407
4139,490
98000,309
6646,433
76178,402
95967,333
9680,308
18941,314
79512,338
96783,450
96619,468
24211,299
96164,485
93021,358
98099,306
88605,471
30663,349
93898,452
96559,342
33216,267
56116,258
1318,465
95046,441
98159,487
20488,299
71967,390
72005,308
13622,343
31667,286
35768,491
98850,314
28301,265
15881,414
57335,275
12518,328
34316,485
89039,428
68227,486
41303,493
83351,438
26354,478
80252,442
94968,388
84778,404
4694,415
68844,358
44871,293
37866,294
33591,390
48699,483
47622,404
37991,251
48263,329
33538,325
3980,292
29110,439
97474,266
9129,424
14249,352
29634,348
37032,454
7585,469
71052,378
16425,458
42091,350
59214,332
62112,395
44197,320
87614,493
87506,278
18199,482
5565,396
14993,318
85567,274
24701,450
65645,370
30611,358
86301,356
94074,358
25776,286
15028,353
83831,302
22068,348
22857,360
73303,485
87875,426
16268,298
95063,495
65231,424
23776,468
12292,425
8235,369
38021,292
32381,282
73722,353
64495,291
79018,337
65002,402
24291,302
77815,356
53628,415
70033,395
81343,307
28749,469
5902,258
46124,343
48923,291
54172,370
6669,297
37135,346
94466,273
43530,486
38206,256
12765,347
6442,459
58015,292
5019,315
1230,412
14799,397
